Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,0.160498,0.160764,0.160313,0.160498,0.160498,0
2013-01-02,0.160318,0.160764,0.160318,0.160318,0.160318,0
2013-01-03,0.160431,0.160764,0.160351,0.160431,0.160431,0
2013-01-04,0.160449,0.160764,0.160390,0.160449,0.160449,0
2013-01-07,0.160501,0.160785,0.160413,0.160501,0.160501,0
2013-01-08,0.160519,0.160937,0.160511,0.160519,0.160519,0
2013-01-09,0.160663,0.160924,0.160568,0.160663,0.160663,0
2013-01-10,0.160637,0.160950,0.160503,0.160637,0.160637,0
2013-01-11,0.160653,0.161153,0.160650,0.160653,0.160653,0
2013-01-14,0.160870,0.161106,0.160689,0.160870,0.160870,0
2013-01-15,0.160712,0.161197,0.160684,0.160712,0.160712,0
2013-01-16,0.160942,0.161197,0.160767,0.160942,0.160942,0
2013-01-17,0.160785,0.161134,0.160728,0.160785,0.160785,0
2013-01-18,0.160816,0.161150,0.160774,0.160816,0.160816,0
2013-01-21,0.160787,0.161007,0.160705,0.161150,0.161150,0
2013-01-22,0.160754,0.161036,0.160622,0.160754,0.160754,0
2013-01-23,0.160705,0.161095,0.160705,0.160705,0.160705,0
2013-01-24,0.160730,0.161082,0.160699,0.160730,0.160730,0
2013-01-25,0.160790,0.161023,0.160655,0.160790,0.160790,0
2013-01-28,0.160785,0.160785,0.160604,0.160785,0.160785,0
2013-01-29,0.160681,0.160924,0.160570,0.160681,0.160681,0
2013-01-30,0.160622,0.161036,0.160601,0.160622,0.160622,0
2013-01-31,0.160785,0.161062,0.160785,0.160785,0.160785,0
2013-02-01,0.160829,0.161062,0.160475,0.160829,0.160829,0
2013-02-04,0.160503,0.160774,0.160323,0.160503,0.160503,0
2013-02-05,0.160503,0.160800,0.160339,0.160503,0.160503,0
2013-02-06,0.160570,0.160787,0.160372,0.160570,0.160570,0
2013-02-07,0.160539,0.160707,0.160323,0.160537,0.160537,0
2013-02-08,0.160431,0.160813,0.160318,0.160436,0.160436,0
2013-02-11,0.159926,0.160707,0.159918,0.159923,0.159923,0
2013-02-12,0.160439,0.160707,0.160351,0.160442,0.160442,0
2013-02-13,0.160452,0.160707,0.160354,0.160449,0.160449,0
2013-02-14,0.160436,0.160707,0.160344,0.160442,0.160442,0
2013-02-15,0.160444,0.160707,0.160344,0.160447,0.160447,0
2013-02-18,0.160661,0.160661,0.160077,0.160658,0.160658,0
2013-02-19,0.160185,0.160488,0.160051,0.160185,0.160185,0
2013-02-20,0.160167,0.160575,0.160044,0.160167,0.160167,0
2013-02-21,0.160226,0.160501,0.160138,0.160238,0.160238,0
2013-02-22,0.160287,0.160630,0.160102,0.160282,0.160282,0
2013-02-25,0.160705,0.160705,0.160295,0.160712,0.160712,0
2013-02-26,0.160439,0.160785,0.160310,0.160439,0.160439,0
2013-02-27,0.160555,0.160854,0.160424,0.160552,0.160552,0
2013-02-28,0.160614,0.160974,0.160565,0.160612,0.160612,0
2013-03-01,0.160712,0.160994,0.160604,0.160710,0.160710,0
2013-03-04,0.160699,0.160898,0.160550,0.160761,0.160761,0
2013-03-05,0.160705,0.160968,0.160539,0.160707,0.160707,0
2013-03-06,0.160707,0.161129,0.160632,0.160715,0.160715,0
2013-03-07,0.160808,0.161025,0.160666,0.160805,0.160805,0
2013-03-08,0.160785,0.161176,0.160661,0.160787,0.160787,0
