Year,Price_Avg,Open_Avg,High_Avg,Low_Avg,Vol._Avg,Change %_Avg
2013,1409.3511627906976,1411.3476744186046,1421.4953488372093,1397.9794573643412,,
2014,1266.2542635658913,1266.3996124031007,1273.8802325581394,1258.7391472868217,,
2015,1159.4084942084942,1160.288416988417,1167.0903474903475,1152.504247104247,,
2016,1251.1232558139534,1250.9662790697673,1259.962015503876,1242.477519379845,,
2017,1260.4684824902724,1259.9015564202334,1265.9291828793773,1254.0151750972764,,
2018,1271.8906976744186,1272.0073643410853,1277.6887596899226,1266.1131782945738,,
2019,1397.7829457364342,1397.2686046511628,1404.820930232558,1390.2531007751938,,
2020,1778.7185328185328,1778.6992277992276,1793.7378378378378,1762.4413127413127,,
2021,1799.774031007752,1800.386046511628,1810.9941860465117,1787.9961240310076,,
2022,1804.7476923076924,1805.4478846153847,1817.0021153846153,1792.6534615384617,,
